,date,ADMIN0,ADMIN1,ADMIN2,CS
254,2010-01-01,Ethiopia,Gambela,Itang,3.0
6151,2010-01-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
255,2010-01-01,Ethiopia,Gambela,Agniwak,3.0
151,2010-01-01,Ethiopia,Oromia,East Hararge,2.0
152,2010-01-01,Ethiopia,Tigray,East Tigray,2.0
6155,2010-01-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
6156,2010-01-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
258,2010-01-01,Ethiopia,Afar,Kilbati,3.0
260,2010-01-01,Ethiopia,Somali,Nogob,3.0
261,2010-01-01,Ethiopia,Somali,Dollo,3.0
6114,2010-01-01,Ethiopia,SNNPR,Sheka,1.0
108,2010-01-01,Ethiopia,SNNPR,Sidama,2.0
226,2010-01-01,Ethiopia,Somali,Afder,3.0
110,2010-01-01,Ethiopia,SNNPR,Alaba,2.0
111,2010-01-01,Ethiopia,Oromia,Arsi,2.0
6120,2010-01-01,Ethiopia,SNNPR,Basketo,1.0
6121,2010-01-01,Ethiopia,SNNPR,Bench Maji,1.0
113,2010-01-01,Ethiopia,Tigray,Central Tigray,2.0
114,2010-01-01,Ethiopia,SNNPR,Dawro,2.0
116,2010-01-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
6123,2010-01-01,Ethiopia,Amhara,East Gojam,1.0
118,2010-01-01,Ethiopia,Oromia,East Shewa,2.0
119,2010-01-01,Ethiopia,SNNPR,Gamo Gofa,2.0
122,2010-01-01,Ethiopia,SNNPR,Gurage,2.0
6130,2010-01-01,Ethiopia,Oromia,Horo Guduru,1.0
6132,2010-01-01,Ethiopia,Oromia,Jimma,1.0
127,2010-01-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
6133,2010-01-01,Ethiopia,SNNPR,Keffa,1.0
6135,2010-01-01,Ethiopia,SNNPR,Konta,1.0
6136,2010-01-01,Ethiopia,Gambela,Mezhenger,1.0
129,2010-01-01,Ethiopia,Amhara,North Shewa,2.0
