,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
6196,2011-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6197,2011-10-01,1.0,Ethiopia,Gambela,Mejenger
6199,2011-10-01,1.0,Ethiopia,SNNP,Mirab Omo
211,2011-10-01,4.0,Ethiopia,Somali,Nogob
6201,2011-10-01,1.0,Ethiopia,Amhara,North Shewa
6397,2011-10-01,2.0,Ethiopia,Amhara,North Wello
6398,2011-10-01,2.0,Ethiopia,Tigray,North Western
6400,2011-10-01,2.0,Ethiopia,Amhara,Oromia
212,2011-10-01,4.0,Ethiopia,Somali,Shabelle
6207,2011-10-01,1.0,Ethiopia,SNNP,Sheka
6401,2011-10-01,2.0,Ethiopia,SNNP,Sidama
6402,2011-10-01,2.0,Ethiopia,SNNP,Siltie
6403,2011-10-01,2.0,Ethiopia,Somali,Siti
6405,2011-10-01,2.0,Ethiopia,Amhara,South Gondar
1810,2011-10-01,3.0,Ethiopia,SNNP,South Omo
6407,2011-10-01,2.0,Ethiopia,Amhara,South Wello
6213,2011-10-01,1.0,Ethiopia,Oromia,South West Shewa
6409,2011-10-01,2.0,Ethiopia,Tigray,Southern
6410,2011-10-01,2.0,Ethiopia,Amhara,Wag Hamra
6214,2011-10-01,1.0,Ethiopia,Oromia,West Arsi
1815,2011-10-01,3.0,Ethiopia,Oromia,West Guji
6414,2011-10-01,2.0,Ethiopia,Oromia,West Hararge
6219,2011-10-01,1.0,Ethiopia,Oromia,West Shewa
6220,2011-10-01,1.0,Ethiopia,Oromia,West Wellega
6221,2011-10-01,1.0,Ethiopia,Tigray,Western
6417,2011-10-01,2.0,Ethiopia,SNNP,Wolayita
6418,2011-10-01,2.0,Ethiopia,SNNP,Yem Special
6419,2011-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
1817,2011-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
6421,2011-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
6422,2011-10-01,2.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
6423,2011-10-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
6399,2011-10-01,2.0,Ethiopia,Gambela,Nuwer
6392,2011-10-01,2.0,Ethiopia,Tigray,Mekele Special
6954,2011-10-01,99.0,Ethiopia,Addis Ababa,Region 14
6404,2011-10-01,2.0,Ethiopia,Tigray,South Eastern
6215,2011-10-01,1.0,Ethiopia,Amhara,West Gojam
6175,2011-10-01,1.0,Ethiopia,Oromia,Buno Bedele
6176,2011-10-01,1.0,Ethiopia,Amhara,Central Gondar
6372,2011-10-01,2.0,Ethiopia,Tigray,Eastern
6181,2011-10-01,1.0,Ethiopia,Gambela,Etang Special woreda
6952,2011-10-01,99.0,Ethiopia,Harari,Harari
6394,2011-10-01,2.0,Ethiopia,Amhara,North Gondar
6948,2011-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa urban
6216,2011-10-01,1.0,Ethiopia,Amhara,West Gondar
6172,2011-10-01,1.0,Ethiopia,Amhara,Awi
6193,2011-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
6198,2011-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
