,date,CS,ADMIN0,ADMIN1,ADMIN2
2223,2015-10-01,1.0,Ethiopia,SNNPR,Sidama
672,2015-10-01,2.0,Ethiopia,Somali,Afder
2275,2015-10-01,3.0,Ethiopia,SNNPR,Alaba
674,2015-10-01,2.0,Ethiopia,Oromia,Arsi
2225,2015-10-01,1.0,Ethiopia,SNNPR,Basketo
2226,2015-10-01,1.0,Ethiopia,SNNPR,Bench Maji
2277,2015-10-01,3.0,Ethiopia,Tigray,Central Tigray
2228,2015-10-01,1.0,Ethiopia,SNNPR,Dawro
2280,2015-10-01,3.0,Ethiopia,Dire Dawa,Dire Dawa
2229,2015-10-01,1.0,Ethiopia,Amhara,East Gojam
2282,2015-10-01,3.0,Ethiopia,Oromia,East Shewa
2232,2015-10-01,1.0,Ethiopia,SNNPR,Gamo Gofa
2235,2015-10-01,1.0,Ethiopia,SNNPR,Gurage
2236,2015-10-01,1.0,Ethiopia,Oromia,Horo Guduru
2238,2015-10-01,1.0,Ethiopia,Oromia,Jimma
686,2015-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
2240,2015-10-01,1.0,Ethiopia,SNNPR,Keffa
2242,2015-10-01,1.0,Ethiopia,SNNPR,Konta
2243,2015-10-01,1.0,Ethiopia,Gambela,Mezhenger
690,2015-10-01,2.0,Ethiopia,Amhara,North Shewa
2292,2015-10-01,3.0,Ethiopia,Amhara,Oromia
695,2015-10-01,2.0,Ethiopia,Amhara,South Gondar
2247,2015-10-01,1.0,Ethiopia,SNNPR,South Omo
2296,2015-10-01,3.0,Ethiopia,Amhara,South Wollo
2298,2015-10-01,3.0,Ethiopia,Amhara,Argoba
2299,2015-10-01,3.0,Ethiopia,Amhara,Wag Himra
2300,2015-10-01,3.0,Ethiopia,Oromia,West Arsi
2251,2015-10-01,1.0,Ethiopia,Oromia,West Shewa
2253,2015-10-01,1.0,Ethiopia,Tigray,West Tigray
704,2015-10-01,2.0,Ethiopia,SNNPR,Wolayita
2255,2015-10-01,1.0,Ethiopia,SNNPR,Yem
6809,2015-10-01,4.0,Ethiopia,Afar,Gabi
2307,2015-10-01,3.0,Ethiopia,Afar,Khari
2256,2015-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
2261,2015-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
2265,2015-10-01,1.0,Ethiopia,Oromia,South West Shewa
2315,2015-10-01,3.0,Ethiopia,SNNPR,Hadiya
2317,2015-10-01,3.0,Ethiopia,SNNPR,Silltie
722,2015-10-01,2.0,Ethiopia,Oromia,North Shewa
2285,2015-10-01,3.0,Ethiopia,Harari,Harari
2266,2015-10-01,1.0,Ethiopia,Amhara,North Gondar
2250,2015-10-01,1.0,Ethiopia,Amhara,West Gojam
2224,2015-10-01,1.0,Ethiopia,Amhara,Awi
2259,2015-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
2264,2015-10-01,1.0,Ethiopia,Addis Ababa,Region 14
2108,2016-02-01,1.0,Ethiopia,SNNPR,Segen
3862,2016-02-01,2.0,Ethiopia,Oromia,Bale
3863,2016-02-01,2.0,Ethiopia,Oromia,Borena
4987,2016-02-01,1.0,Ethiopia,Somali,Jarar
2121,2016-02-01,1.0,Ethiopia,Oromia,East Wellega
2123,2016-02-01,1.0,Ethiopia,SNNPR,Gedeo
2124,2016-02-01,1.0,Ethiopia,Oromia,Gujii
2127,2016-02-01,1.0,Ethiopia,Oromia,Ilubabor
6066,2016-02-01,2.0,Ethiopia,Somali,Fafan
2131,2016-02-01,1.0,Ethiopia,Oromia,Kelem
2133,2016-02-01,1.0,Ethiopia,Somali,Korahe
2134,2016-02-01,1.0,Ethiopia,Somali,Liben
741,2016-02-01,3.0,Ethiopia,Amhara,North Wollo
2137,2016-02-01,1.0,Ethiopia,Gambela,Nuer
4688,2016-02-01,4.0,Ethiopia,Somali,Sitti
6072,2016-02-01,2.0,Ethiopia,Tigray,South Tigray
4691,2016-02-01,4.0,Ethiopia,Oromia,West Hararge
2144,2016-02-01,1.0,Ethiopia,Oromia,West Wellega
6609,2016-02-01,3.0,Ethiopia,Afar,Awusi
6611,2016-02-01,3.0,Ethiopia,Afar,Fanti
2148,2016-02-01,1.0,Ethiopia,Somali,Shebelle
2150,2016-02-01,1.0,Ethiopia,Gambela,Itang
2151,2016-02-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2153,2016-02-01,1.0,Ethiopia,Gambela,Agniwak
4696,2016-02-01,4.0,Ethiopia,Oromia,East Hararge
6079,2016-02-01,2.0,Ethiopia,Tigray,East Tigray
2155,2016-02-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2156,2016-02-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
6615,2016-02-01,3.0,Ethiopia,Afar,Kilbati
4995,2016-02-01,1.0,Ethiopia,Somali,Nogob
2162,2016-02-01,1.0,Ethiopia,Somali,Dollo
2110,2016-02-01,1.0,Ethiopia,SNNPR,Sheka
2112,2016-02-01,1.0,Ethiopia,SNNPR,Sidama
4984,2016-02-01,1.0,Ethiopia,Somali,Afder
728,2016-02-01,3.0,Ethiopia,SNNPR,Alaba
3866,2016-02-01,2.0,Ethiopia,Oromia,Arsi
2115,2016-02-01,1.0,Ethiopia,SNNPR,Basketo
2116,2016-02-01,1.0,Ethiopia,SNNPR,Bench Maji
6060,2016-02-01,2.0,Ethiopia,Tigray,Central Tigray
2117,2016-02-01,1.0,Ethiopia,SNNPR,Dawro
6590,2016-02-01,3.0,Ethiopia,Dire Dawa,Dire Dawa
2119,2016-02-01,1.0,Ethiopia,Amhara,East Gojam
734,2016-02-01,3.0,Ethiopia,Oromia,East Shewa
2122,2016-02-01,1.0,Ethiopia,SNNPR,Gamo Gofa
2125,2016-02-01,1.0,Ethiopia,SNNPR,Gurage
2126,2016-02-01,1.0,Ethiopia,Oromia,Horo Guduru
2128,2016-02-01,1.0,Ethiopia,Oromia,Jimma
4990,2016-02-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
2130,2016-02-01,1.0,Ethiopia,SNNPR,Keffa
2132,2016-02-01,1.0,Ethiopia,SNNPR,Konta
2135,2016-02-01,1.0,Ethiopia,Gambela,Mezhenger
3882,2016-02-01,2.0,Ethiopia,Amhara,North Shewa
743,2016-02-01,3.0,Ethiopia,Amhara,Oromia
2138,2016-02-01,1.0,Ethiopia,Amhara,South Gondar
2139,2016-02-01,1.0,Ethiopia,SNNPR,South Omo
747,2016-02-01,3.0,Ethiopia,Amhara,South Wollo
749,2016-02-01,3.0,Ethiopia,Amhara,Argoba
6604,2016-02-01,3.0,Ethiopia,Amhara,Wag Himra
751,2016-02-01,3.0,Ethiopia,Oromia,West Arsi
2143,2016-02-01,1.0,Ethiopia,Oromia,West Shewa
2145,2016-02-01,1.0,Ethiopia,Tigray,West Tigray
3896,2016-02-01,2.0,Ethiopia,SNNPR,Wolayita
2147,2016-02-01,1.0,Ethiopia,SNNPR,Yem
4693,2016-02-01,4.0,Ethiopia,Afar,Gabi
6612,2016-02-01,3.0,Ethiopia,Afar,Khari
3901,2016-02-01,2.0,Ethiopia,Tigray,Northwest Tigray
2154,2016-02-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
2158,2016-02-01,1.0,Ethiopia,Oromia,South West Shewa
3908,2016-02-01,2.0,Ethiopia,SNNPR,Hadiya
768,2016-02-01,3.0,Ethiopia,SNNPR,Silltie
3912,2016-02-01,2.0,Ethiopia,Oromia,North Shewa
737,2016-02-01,3.0,Ethiopia,Harari,Harari
2159,2016-02-01,1.0,Ethiopia,Amhara,North Gondar
2142,2016-02-01,1.0,Ethiopia,Amhara,West Gojam
2114,2016-02-01,1.0,Ethiopia,Amhara,Awi
2152,2016-02-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
2157,2016-02-01,1.0,Ethiopia,Addis Ababa,Region 14
1728,2019-10-01,2.0,Ethiopia,SNNPR,Segen
805,2019-10-01,3.0,Ethiopia,Oromia,Bale
1730,2019-10-01,2.0,Ethiopia,Oromia,Borena
813,2019-10-01,3.0,Ethiopia,Somali,Jarar
2612,2019-10-01,1.0,Ethiopia,Oromia,East Wellega
818,2019-10-01,3.0,Ethiopia,SNNPR,Gedeo
1745,2019-10-01,2.0,Ethiopia,Oromia,Gujii
2618,2019-10-01,1.0,Ethiopia,Oromia,Ilubabor
1748,2019-10-01,2.0,Ethiopia,Somali,Fafan
2623,2019-10-01,1.0,Ethiopia,Oromia,Kelem
824,2019-10-01,3.0,Ethiopia,Somali,Korahe
825,2019-10-01,3.0,Ethiopia,Somali,Liben
1755,2019-10-01,2.0,Ethiopia,Amhara,North Wollo
2629,2019-10-01,1.0,Ethiopia,Gambela,Nuer
1757,2019-10-01,2.0,Ethiopia,Somali,Sitti
1761,2019-10-01,2.0,Ethiopia,Tigray,South Tigray
835,2019-10-01,3.0,Ethiopia,Oromia,West Hararge
2641,2019-10-01,1.0,Ethiopia,Oromia,West Wellega
1770,2019-10-01,2.0,Ethiopia,Afar,Awusi
841,2019-10-01,3.0,Ethiopia,Afar,Fanti
842,2019-10-01,3.0,Ethiopia,Somali,Shebelle
2650,2019-10-01,1.0,Ethiopia,Gambela,Itang
2651,2019-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2653,2019-10-01,1.0,Ethiopia,Gambela,Agniwak
847,2019-10-01,3.0,Ethiopia,Oromia,East Hararge
848,2019-10-01,3.0,Ethiopia,Tigray,East Tigray
2657,2019-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2658,2019-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
851,2019-10-01,3.0,Ethiopia,Afar,Kilbati
854,2019-10-01,3.0,Ethiopia,Somali,Nogob
856,2019-10-01,3.0,Ethiopia,Somali,Dollo
2597,2019-10-01,1.0,Ethiopia,SNNPR,Sheka
2599,2019-10-01,1.0,Ethiopia,SNNPR,Sidama
808,2019-10-01,3.0,Ethiopia,Somali,Afder
1733,2019-10-01,2.0,Ethiopia,SNNPR,Alaba
2602,2019-10-01,1.0,Ethiopia,Oromia,Arsi
2604,2019-10-01,1.0,Ethiopia,SNNPR,Basketo
2605,2019-10-01,1.0,Ethiopia,SNNPR,Bench Maji
2606,2019-10-01,1.0,Ethiopia,Tigray,Central Tigray
2607,2019-10-01,1.0,Ethiopia,SNNPR,Dawro
1740,2019-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
2610,2019-10-01,1.0,Ethiopia,Amhara,East Gojam
2611,2019-10-01,1.0,Ethiopia,Oromia,East Shewa
1743,2019-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
2616,2019-10-01,1.0,Ethiopia,SNNPR,Gurage
2617,2019-10-01,1.0,Ethiopia,Oromia,Horo Guduru
2620,2019-10-01,1.0,Ethiopia,Oromia,Jimma
1750,2019-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
2622,2019-10-01,1.0,Ethiopia,SNNPR,Keffa
2624,2019-10-01,1.0,Ethiopia,SNNPR,Konta
2626,2019-10-01,1.0,Ethiopia,Gambela,Mezhenger
2627,2019-10-01,1.0,Ethiopia,Amhara,North Shewa
2630,2019-10-01,1.0,Ethiopia,Amhara,Oromia
1758,2019-10-01,2.0,Ethiopia,Amhara,South Gondar
1759,2019-10-01,2.0,Ethiopia,SNNPR,South Omo
1760,2019-10-01,2.0,Ethiopia,Amhara,South Wollo
1762,2019-10-01,2.0,Ethiopia,Amhara,Argoba
833,2019-10-01,3.0,Ethiopia,Amhara,Wag Himra
2637,2019-10-01,1.0,Ethiopia,Oromia,West Arsi
2640,2019-10-01,1.0,Ethiopia,Oromia,West Shewa
2642,2019-10-01,1.0,Ethiopia,Tigray,West Tigray
1769,2019-10-01,2.0,Ethiopia,SNNPR,Wolayita
2644,2019-10-01,1.0,Ethiopia,SNNPR,Yem
1771,2019-10-01,2.0,Ethiopia,Afar,Gabi
1773,2019-10-01,2.0,Ethiopia,Afar,Khari
2649,2019-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
2654,2019-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
2660,2019-10-01,1.0,Ethiopia,Oromia,South West Shewa
2662,2019-10-01,1.0,Ethiopia,SNNPR,Hadiya
1784,2019-10-01,2.0,Ethiopia,SNNPR,Silltie
2664,2019-10-01,1.0,Ethiopia,Oromia,North Shewa
1747,2019-10-01,2.0,Ethiopia,Harari,Harari
2661,2019-10-01,1.0,Ethiopia,Amhara,North Gondar
2638,2019-10-01,1.0,Ethiopia,Amhara,West Gojam
2603,2019-10-01,1.0,Ethiopia,Amhara,Awi
2652,2019-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
2659,2019-10-01,1.0,Ethiopia,Addis Ababa,Region 14
2717,2019-06-01,2.0,Ethiopia,SNNPR,Segen
858,2019-06-01,3.0,Ethiopia,Oromia,Bale
859,2019-06-01,3.0,Ethiopia,Oromia,Borena
866,2019-06-01,3.0,Ethiopia,Somali,Jarar
2546,2019-06-01,1.0,Ethiopia,Oromia,East Wellega
871,2019-06-01,3.0,Ethiopia,SNNPR,Gedeo
872,2019-06-01,3.0,Ethiopia,Oromia,Gujii
2552,2019-06-01,1.0,Ethiopia,Oromia,Ilubabor
2738,2019-06-01,2.0,Ethiopia,Somali,Fafan
2556,2019-06-01,1.0,Ethiopia,Oromia,Kelem
879,2019-06-01,3.0,Ethiopia,Somali,Korahe
880,2019-06-01,3.0,Ethiopia,Somali,Liben
2746,2019-06-01,2.0,Ethiopia,Amhara,North Wollo
2561,2019-06-01,1.0,Ethiopia,Gambela,Nuer
884,2019-06-01,3.0,Ethiopia,Somali,Sitti
2752,2019-06-01,2.0,Ethiopia,Tigray,South Tigray
890,2019-06-01,3.0,Ethiopia,Oromia,West Hararge
2572,2019-06-01,1.0,Ethiopia,Oromia,West Wellega
2761,2019-06-01,2.0,Ethiopia,Afar,Awusi
2763,2019-06-01,2.0,Ethiopia,Afar,Fanti
896,2019-06-01,3.0,Ethiopia,Somali,Shebelle
2580,2019-06-01,1.0,Ethiopia,Gambela,Itang
2581,2019-06-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2583,2019-06-01,1.0,Ethiopia,Gambela,Agniwak
901,2019-06-01,3.0,Ethiopia,Oromia,East Hararge
2768,2019-06-01,2.0,Ethiopia,Tigray,East Tigray
2586,2019-06-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2587,2019-06-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
906,2019-06-01,3.0,Ethiopia,Afar,Kilbati
909,2019-06-01,3.0,Ethiopia,Somali,Nogob
911,2019-06-01,3.0,Ethiopia,Somali,Dollo
2535,2019-06-01,1.0,Ethiopia,SNNPR,Sheka
2720,2019-06-01,2.0,Ethiopia,SNNPR,Sidama
861,2019-06-01,3.0,Ethiopia,Somali,Afder
862,2019-06-01,3.0,Ethiopia,SNNPR,Alaba
2538,2019-06-01,1.0,Ethiopia,Oromia,Arsi
2540,2019-06-01,1.0,Ethiopia,SNNPR,Basketo
2541,2019-06-01,1.0,Ethiopia,SNNPR,Bench Maji
2542,2019-06-01,1.0,Ethiopia,Tigray,Central Tigray
2543,2019-06-01,1.0,Ethiopia,SNNPR,Dawro
2729,2019-06-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
2544,2019-06-01,1.0,Ethiopia,Amhara,East Gojam
2731,2019-06-01,2.0,Ethiopia,Oromia,East Shewa
2732,2019-06-01,2.0,Ethiopia,SNNPR,Gamo Gofa
2550,2019-06-01,1.0,Ethiopia,SNNPR,Gurage
2551,2019-06-01,1.0,Ethiopia,Oromia,Horo Guduru
2553,2019-06-01,1.0,Ethiopia,Oromia,Jimma
2740,2019-06-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
2555,2019-06-01,1.0,Ethiopia,SNNPR,Keffa
2557,2019-06-01,1.0,Ethiopia,SNNPR,Konta
2558,2019-06-01,1.0,Ethiopia,Gambela,Mezhenger
2559,2019-06-01,1.0,Ethiopia,Amhara,North Shewa
2562,2019-06-01,1.0,Ethiopia,Amhara,Oromia
2563,2019-06-01,1.0,Ethiopia,Amhara,South Gondar
886,2019-06-01,3.0,Ethiopia,SNNPR,South Omo
2751,2019-06-01,2.0,Ethiopia,Amhara,South Wollo
2567,2019-06-01,1.0,Ethiopia,Amhara,Argoba
888,2019-06-01,3.0,Ethiopia,Amhara,Wag Himra
2569,2019-06-01,1.0,Ethiopia,Oromia,West Arsi
2571,2019-06-01,1.0,Ethiopia,Oromia,West Shewa
2573,2019-06-01,1.0,Ethiopia,Tigray,West Tigray
2759,2019-06-01,2.0,Ethiopia,SNNPR,Wolayita
2575,2019-06-01,1.0,Ethiopia,SNNPR,Yem
2762,2019-06-01,2.0,Ethiopia,Afar,Gabi
2764,2019-06-01,2.0,Ethiopia,Afar,Khari
2579,2019-06-01,1.0,Ethiopia,Tigray,Northwest Tigray
2584,2019-06-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
2589,2019-06-01,1.0,Ethiopia,Oromia,South West Shewa
2773,2019-06-01,2.0,Ethiopia,SNNPR,Hadiya
2593,2019-06-01,1.0,Ethiopia,SNNPR,Silltie
2594,2019-06-01,1.0,Ethiopia,Oromia,North Shewa
2736,2019-06-01,2.0,Ethiopia,Harari,Harari
2591,2019-06-01,1.0,Ethiopia,Amhara,North Gondar
2570,2019-06-01,1.0,Ethiopia,Amhara,West Gojam
2539,2019-06-01,1.0,Ethiopia,Amhara,Awi
2582,2019-06-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
2588,2019-06-01,1.0,Ethiopia,Addis Ababa,Region 14
4536,2011-01-01,2.0,Ethiopia,SNNPR,Segen
913,2011-01-01,3.0,Ethiopia,Oromia,Bale
914,2011-01-01,3.0,Ethiopia,Oromia,Borena
917,2011-01-01,3.0,Ethiopia,Somali,Jarar
6385,2011-01-01,1.0,Ethiopia,Oromia,East Wellega
4552,2011-01-01,2.0,Ethiopia,SNNPR,Gedeo
919,2011-01-01,3.0,Ethiopia,Oromia,Gujii
6391,2011-01-01,1.0,Ethiopia,Oromia,Ilubabor
4558,2011-01-01,2.0,Ethiopia,Somali,Fafan
6394,2011-01-01,1.0,Ethiopia,Oromia,Kelem
922,2011-01-01,3.0,Ethiopia,Somali,Korahe
923,2011-01-01,3.0,Ethiopia,Somali,Liben
4567,2011-01-01,2.0,Ethiopia,Amhara,North Wollo
926,2011-01-01,3.0,Ethiopia,Gambela,Nuer
4570,2011-01-01,2.0,Ethiopia,Somali,Sitti
4574,2011-01-01,2.0,Ethiopia,Tigray,South Tigray
935,2011-01-01,3.0,Ethiopia,Oromia,West Hararge
6406,2011-01-01,1.0,Ethiopia,Oromia,West Wellega
936,2011-01-01,3.0,Ethiopia,Afar,Awusi
4586,2011-01-01,2.0,Ethiopia,Afar,Fanti
939,2011-01-01,3.0,Ethiopia,Somali,Shebelle
4589,2011-01-01,2.0,Ethiopia,Gambela,Itang
4590,2011-01-01,2.0,Ethiopia,Benshangul Gumuz,Mao-Komo
4591,2011-01-01,2.0,Ethiopia,Gambela,Agniwak
942,2011-01-01,3.0,Ethiopia,Oromia,East Hararge
4594,2011-01-01,2.0,Ethiopia,Tigray,East Tigray
6415,2011-01-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
6416,2011-01-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
943,2011-01-01,3.0,Ethiopia,Afar,Kilbati
944,2011-01-01,3.0,Ethiopia,Somali,Nogob
945,2011-01-01,3.0,Ethiopia,Somali,Dollo
6377,2011-01-01,1.0,Ethiopia,SNNPR,Sheka
4540,2011-01-01,2.0,Ethiopia,SNNPR,Sidama
915,2011-01-01,3.0,Ethiopia,Somali,Afder
4541,2011-01-01,2.0,Ethiopia,SNNPR,Alaba
4542,2011-01-01,2.0,Ethiopia,Oromia,Arsi
4543,2011-01-01,2.0,Ethiopia,SNNPR,Basketo
6381,2011-01-01,1.0,Ethiopia,SNNPR,Bench Maji
4545,2011-01-01,2.0,Ethiopia,Tigray,Central Tigray
4546,2011-01-01,2.0,Ethiopia,SNNPR,Dawro
4548,2011-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
6383,2011-01-01,1.0,Ethiopia,Amhara,East Gojam
6384,2011-01-01,1.0,Ethiopia,Oromia,East Shewa
4551,2011-01-01,2.0,Ethiopia,SNNPR,Gamo Gofa
4554,2011-01-01,2.0,Ethiopia,SNNPR,Gurage
6390,2011-01-01,1.0,Ethiopia,Oromia,Horo Guduru
6392,2011-01-01,1.0,Ethiopia,Oromia,Jimma
4560,2011-01-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
6393,2011-01-01,1.0,Ethiopia,SNNPR,Keffa
6395,2011-01-01,1.0,Ethiopia,SNNPR,Konta
4565,2011-01-01,2.0,Ethiopia,Gambela,Mezhenger
4566,2011-01-01,2.0,Ethiopia,Amhara,North Shewa
4569,2011-01-01,2.0,Ethiopia,Amhara,Oromia
6399,2011-01-01,1.0,Ethiopia,Amhara,South Gondar
930,2011-01-01,3.0,Ethiopia,SNNPR,South Omo
4573,2011-01-01,2.0,Ethiopia,Amhara,South Wollo
4575,2011-01-01,2.0,Ethiopia,Amhara,Argoba
4576,2011-01-01,2.0,Ethiopia,Amhara,Wag Himra
4577,2011-01-01,2.0,Ethiopia,Oromia,West Arsi
6405,2011-01-01,1.0,Ethiopia,Oromia,West Shewa
6407,2011-01-01,1.0,Ethiopia,Tigray,West Tigray
4582,2011-01-01,2.0,Ethiopia,SNNPR,Wolayita
6408,2011-01-01,1.0,Ethiopia,SNNPR,Yem
4585,2011-01-01,2.0,Ethiopia,Afar,Gabi
4587,2011-01-01,2.0,Ethiopia,Afar,Khari
4588,2011-01-01,2.0,Ethiopia,Tigray,Northwest Tigray
6414,2011-01-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
6418,2011-01-01,1.0,Ethiopia,Oromia,South West Shewa
4598,2011-01-01,2.0,Ethiopia,SNNPR,Hadiya
4599,2011-01-01,2.0,Ethiopia,SNNPR,Silltie
4601,2011-01-01,2.0,Ethiopia,Oromia,North Shewa
4555,2011-01-01,2.0,Ethiopia,Harari,Harari
6419,2011-01-01,1.0,Ethiopia,Amhara,North Gondar
6403,2011-01-01,1.0,Ethiopia,Amhara,West Gojam
6380,2011-01-01,1.0,Ethiopia,Amhara,Awi
6412,2011-01-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6924,2011-01-01,99.0,Ethiopia,Addis Ababa,Region 14
3777,2017-06-01,3.0,Ethiopia,SNNPR,Segen
947,2017-06-01,2.0,Ethiopia,Oromia,Bale
3779,2017-06-01,3.0,Ethiopia,Oromia,Borena
956,2017-06-01,2.0,Ethiopia,Somali,Jarar
5361,2017-06-01,1.0,Ethiopia,Oromia,East Wellega
3790,2017-06-01,3.0,Ethiopia,SNNPR,Gedeo
5364,2017-06-01,1.0,Ethiopia,Oromia,Gujii
5367,2017-06-01,1.0,Ethiopia,Oromia,Ilubabor
965,2017-06-01,2.0,Ethiopia,Somali,Fafan
5371,2017-06-01,1.0,Ethiopia,Oromia,Kelem
6709,2017-06-01,4.0,Ethiopia,Somali,Korahe
3797,2017-06-01,3.0,Ethiopia,Somali,Liben
6466,2017-06-01,2.0,Ethiopia,Amhara,North Wollo
5375,2017-06-01,1.0,Ethiopia,Gambela,Nuer
977,2017-06-01,2.0,Ethiopia,Somali,Sitti
6471,2017-06-01,2.0,Ethiopia,Tigray,South Tigray
985,2017-06-01,2.0,Ethiopia,Oromia,West Hararge
5385,2017-06-01,1.0,Ethiopia,Oromia,West Wellega
989,2017-06-01,2.0,Ethiopia,Afar,Awusi
991,2017-06-01,2.0,Ethiopia,Afar,Fanti
3808,2017-06-01,3.0,Ethiopia,Somali,Shebelle
5392,2017-06-01,1.0,Ethiopia,Gambela,Itang
5393,2017-06-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5395,2017-06-01,1.0,Ethiopia,Gambela,Agniwak
6481,2017-06-01,2.0,Ethiopia,Oromia,East Hararge
999,2017-06-01,2.0,Ethiopia,Tigray,East Tigray
5397,2017-06-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5398,2017-06-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
6485,2017-06-01,2.0,Ethiopia,Afar,Kilbati
3817,2017-06-01,3.0,Ethiopia,Somali,Nogob
6711,2017-06-01,4.0,Ethiopia,Somali,Dollo
5348,2017-06-01,1.0,Ethiopia,SNNPR,Sheka
949,2017-06-01,2.0,Ethiopia,SNNPR,Sidama
6706,2017-06-01,4.0,Ethiopia,Somali,Afder
3782,2017-06-01,3.0,Ethiopia,SNNPR,Alaba
5353,2017-06-01,1.0,Ethiopia,Oromia,Arsi
5355,2017-06-01,1.0,Ethiopia,SNNPR,Basketo
5356,2017-06-01,1.0,Ethiopia,SNNPR,Bench Maji
954,2017-06-01,2.0,Ethiopia,Tigray,Central Tigray
955,2017-06-01,2.0,Ethiopia,SNNPR,Dawro
3787,2017-06-01,3.0,Ethiopia,Dire Dawa,Dire Dawa
5359,2017-06-01,1.0,Ethiopia,Amhara,East Gojam
959,2017-06-01,2.0,Ethiopia,Oromia,East Shewa
3789,2017-06-01,3.0,Ethiopia,SNNPR,Gamo Gofa
5365,2017-06-01,1.0,Ethiopia,SNNPR,Gurage
5366,2017-06-01,1.0,Ethiopia,Oromia,Horo Guduru
5368,2017-06-01,1.0,Ethiopia,Oromia,Jimma
6463,2017-06-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
5370,2017-06-01,1.0,Ethiopia,SNNPR,Keffa
5372,2017-06-01,1.0,Ethiopia,SNNPR,Konta
5373,2017-06-01,1.0,Ethiopia,Gambela,Mezhenger
5374,2017-06-01,1.0,Ethiopia,Amhara,North Shewa
5376,2017-06-01,1.0,Ethiopia,Amhara,Oromia
5377,2017-06-01,1.0,Ethiopia,Amhara,South Gondar
3802,2017-06-01,3.0,Ethiopia,SNNPR,South Omo
980,2017-06-01,2.0,Ethiopia,Amhara,South Wollo
982,2017-06-01,2.0,Ethiopia,Amhara,Argoba
3804,2017-06-01,3.0,Ethiopia,Amhara,Wag Himra
5381,2017-06-01,1.0,Ethiopia,Oromia,West Arsi
5384,2017-06-01,1.0,Ethiopia,Oromia,West Shewa
5386,2017-06-01,1.0,Ethiopia,Tigray,West Tigray
987,2017-06-01,2.0,Ethiopia,SNNPR,Wolayita
5387,2017-06-01,1.0,Ethiopia,SNNPR,Yem
990,2017-06-01,2.0,Ethiopia,Afar,Gabi
992,2017-06-01,2.0,Ethiopia,Afar,Khari
5391,2017-06-01,1.0,Ethiopia,Tigray,Northwest Tigray
5396,2017-06-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5400,2017-06-01,1.0,Ethiopia,Oromia,South West Shewa
5402,2017-06-01,1.0,Ethiopia,SNNPR,Hadiya
1005,2017-06-01,2.0,Ethiopia,SNNPR,Silltie
5404,2017-06-01,1.0,Ethiopia,Oromia,North Shewa
964,2017-06-01,2.0,Ethiopia,Harari,Harari
5401,2017-06-01,1.0,Ethiopia,Amhara,North Gondar
5382,2017-06-01,1.0,Ethiopia,Amhara,West Gojam
5354,2017-06-01,1.0,Ethiopia,Amhara,Awi
5394,2017-06-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
5399,2017-06-01,1.0,Ethiopia,Addis Ababa,Region 14
1008,2013-04-01,3.0,Ethiopia,SNNPR,Segen
1009,2013-04-01,3.0,Ethiopia,Oromia,Bale
4466,2013-04-01,2.0,Ethiopia,Oromia,Borena
4471,2013-04-01,2.0,Ethiopia,Somali,Jarar
5677,2013-04-01,1.0,Ethiopia,Oromia,East Wellega
3320,2013-04-01,2.0,Ethiopia,SNNPR,Gedeo
4476,2013-04-01,2.0,Ethiopia,Oromia,Gujii
