,date,ADMIN0,ADMIN1,ADMIN2,ML2
330,2018-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
331,2018-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
293,2018-10-01,Ethiopia,Oromia,Ilubabor,1.0
324,2018-10-01,Ethiopia,Gambela,Itang,1.0
274,2018-10-01,Ethiopia,SNNPR,Sheka,1.0
280,2018-10-01,Ethiopia,Amhara,Awi,1.0
297,2018-10-01,Ethiopia,Oromia,Kelem,1.0
299,2018-10-01,Ethiopia,Gambela,Mezhenger,1.0
311,2018-10-01,Ethiopia,Amhara,West Gojam,1.0
314,2018-10-01,Ethiopia,Oromia,West Wellega,1.0
317,2018-10-01,Ethiopia,SNNPR,Yem,1.0
326,2018-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
332,2018-10-01,Ethiopia,Addis Ababa,Region 14,1.0
178,2009-10-01,Ethiopia,SNNPR,Segen,3.0
179,2009-10-01,Ethiopia,Oromia,Bale,3.0
180,2009-10-01,Ethiopia,Oromia,Borena,3.0
4007,2009-10-01,Ethiopia,SNNPR,Sidama,2.0
181,2009-10-01,Ethiopia,Somali,Afder,3.0
6056,2009-10-01,Ethiopia,SNNPR,Basketo,1.0
4012,2009-10-01,Ethiopia,SNNPR,Bench Maji,2.0
4019,2009-10-01,Ethiopia,SNNPR,Gamo Gofa,2.0
4020,2009-10-01,Ethiopia,SNNPR,Gedeo,2.0
188,2009-10-01,Ethiopia,Oromia,Gujii,3.0
6070,2009-10-01,Ethiopia,SNNPR,Keffa,1.0
6072,2009-10-01,Ethiopia,SNNPR,Konta,1.0
192,2009-10-01,Ethiopia,Somali,Liben,3.0
4033,2009-10-01,Ethiopia,Amhara,North Wollo,2.0
195,2009-10-01,Ethiopia,Gambela,Nuer,3.0
4035,2009-10-01,Ethiopia,Amhara,Oromia,2.0
4037,2009-10-01,Ethiopia,Amhara,South Gondar,2.0
4038,2009-10-01,Ethiopia,SNNPR,South Omo,2.0
4039,2009-10-01,Ethiopia,Amhara,South Wollo,2.0
4040,2009-10-01,Ethiopia,Tigray,South Tigray,2.0
4042,2009-10-01,Ethiopia,Amhara,Wag Himra,2.0
4043,2009-10-01,Ethiopia,Oromia,West Arsi,2.0
4044,2009-10-01,Ethiopia,Oromia,West Hararge,2.0
203,2009-10-01,Ethiopia,Afar,Awusi,3.0
205,2009-10-01,Ethiopia,Afar,Fanti,3.0
207,2009-10-01,Ethiopia,Somali,Shebelle,3.0
209,2009-10-01,Ethiopia,Gambela,Agniwak,3.0
4057,2009-10-01,Ethiopia,Oromia,East Hararge,2.0
4058,2009-10-01,Ethiopia,Tigray,East Tigray,2.0
212,2009-10-01,Ethiopia,Afar,Kilbati,3.0
213,2009-10-01,Ethiopia,Somali,Nogob,3.0
4009,2009-10-01,Ethiopia,SNNPR,Alaba,2.0
4010,2009-10-01,Ethiopia,Oromia,Arsi,2.0
4013,2009-10-01,Ethiopia,Tigray,Central Tigray,2.0
4014,2009-10-01,Ethiopia,SNNPR,Dawro,2.0
184,2009-10-01,Ethiopia,Somali,Jarar,3.0
4016,2009-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
6060,2009-10-01,Ethiopia,Amhara,East Gojam,1.0
4018,2009-10-01,Ethiopia,Oromia,East Shewa,2.0
6062,2009-10-01,Ethiopia,Oromia,East Wellega,1.0
4022,2009-10-01,Ethiopia,SNNPR,Gurage,2.0
4023,2009-10-01,Ethiopia,Harari,Harari,2.0
6067,2009-10-01,Ethiopia,Oromia,Horo Guduru,1.0
190,2009-10-01,Ethiopia,Somali,Fafan,3.0
6069,2009-10-01,Ethiopia,Oromia,Jimma,1.0
4027,2009-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
191,2009-10-01,Ethiopia,Somali,Korahe,3.0
4032,2009-10-01,Ethiopia,Amhara,North Shewa,2.0
197,2009-10-01,Ethiopia,Somali,Sitti,3.0
4041,2009-10-01,Ethiopia,Amhara,Argoba,2.0
4045,2009-10-01,Ethiopia,Oromia,West Shewa,2.0
6082,2009-10-01,Ethiopia,Tigray,West Tigray,1.0
4047,2009-10-01,Ethiopia,SNNPR,Wolayita,2.0
204,2009-10-01,Ethiopia,Afar,Gabi,3.0
206,2009-10-01,Ethiopia,Afar,Khari,3.0
4053,2009-10-01,Ethiopia,Tigray,Northwest Tigray,2.0
